year,unit,topic,core_word_1,core_word_2,core_word_3,core_word_4
1,1,Ready for class,bag,book,pencil,desk
1,2,Making friends,hello,friend,play,help
1,3,Lunchbox choices,lunch,apple,water,hungry
1,4,A change in weather,sun,rain,warm,cold
1,5,Finding your way,left,right,stop,road
1,6,At the shops,shop,buy,pay,money
1,7,A fair playground,wait,give,take,together
1,8,Looking after things,keep,put,find,care
1,9,Books we choose,story,picture,page,read
1,10,Our school garden,plant,leaf,grow,flower
1,11,A trip to the beach,sand,sea,shell,swim
1,12,Getting around,bus,car,walk,ride
1,13,Feelings and needs,happy,sad,angry,tired
1,14,Working together,team,ask,answer,work
1,15,Making something tasty,cup,spoon,mix,eat
1,16,Celebrating together,family,party,song,dance
1,17,The world online,screen,tap,adult,close
1,18,Noticing the natural world,bird,tree,bug,animal
1,19,Changing our waste,bin,paper,bottle,pick
1,20,Moving and practising,run,jump,catch,throw
1,21,Solving a mystery,look,hide,where,found
1,22,Telling our stories,first,next,then,last
1,23,An idea worth sharing,think,say,like,want
1,24,Looking back and ahead,learn,try,better,proud
2,1,Ready for class,pack,bring,begin,carry
2,2,Making friends,meet,smile,chat,polite
2,3,Lunchbox choices,fruit,sandwich,drink,full
2,4,A change in weather,cloud,windy,storm,coat
2,5,Finding your way,near,far,beside,between
2,6,At the shops,coin,spend,need,sale
2,7,A fair playground,fairly,queue,winner,chance
2,8,Looking after things,broken,fix,label,shelf
2,9,Books we choose,title,author,chapter,favourite
2,10,Our school garden,garden,dig,sprout,wet
2,11,A trip to the beach,ocean,rock,splash,deep
2,12,Getting around,ticket,driver,leave,early
2,13,Feelings and needs,excited,scared,sleepy,brave
2,14,Working together,group,job,leader,member
2,15,Making something tasty,pour,cut,bake,smell
2,16,Celebrating together,gift,music,decorate,guest
2,17,The world online,device,button,photo,online
2,18,Noticing the natural world,insect,nest,bush,river
2,19,Changing our waste,cardboard,wrapper,leftover,dispose
2,20,Moving and practising,hop,skip,kick,move
2,21,Solving a mystery,lost,track,secret,wonder
2,22,Telling our stories,before,after,while,soon
2,23,An idea worth sharing,because,maybe,should,why
2,24,Looking back and ahead,hard,easy,mistake,again
3,1,Ready for class,borrow,return,ready,carefully
3,2,Making friends,invite,join,lonely,kind
